0.0001,468
0.0002,9611
0.0003,17888
0.0004,25494
0.0005,32855
0.0006,39496
0.0007,46025
0.0008,52058
0.0009,58044
0.001,63968
0.0011,69199
0.0012,74352
0.0013,79653
0.0014,84457
0.0015,89152
0.0016,93731
0.0017,97664
0.0018,101835
0.0019,106011
0.002,109441
0.0021,113329
0.0022,116754
0.0023,119972
0.0024,123212
0.0025,126091
0.0026,129064
0.0027,131796
0.0028,134281
0.0029,136829
0.003,139257
0.0031,141308
0.0032,143241
0.0033,145195
0.0034,146746
0.0035,148306
0.0036,149861
0.0037,151367
0.0038,152513
0.0039,153586
0.004,154449
0.0041,155375
0.0042,156116
0.0043,156908
0.0044,157559
0.0045,157962
0.0046,158198
0.0047,158241
0.0048,157888
0.0049,157898
0.005,157980
0.0051,157703
0.0052,157326
0.0053,156943
0.0054,156453
0.0055,156104
0.0056,155214
0.0057,154830
0.0058,154010
0.0059,153135
0.006,152287
0.0061,151220
0.0062,150193
0.0063,148983
0.0064,148005
0.0065,146789
0.0066,145447
0.0067,143993
0.0068,142557
0.0069,141199
0.007,139811
0.0071,138335
0.0072,136757
0.0073,135019
0.0074,133360
0.0075,131618
0.0076,129740
0.0077,128147
0.0078,126483
0.0079,124397
0.008,122442
0.0081,120716
0.0082,118425
0.0083,116675
0.0084,114621
0.0085,112450
0.0086,110594
0.0087,108535
0.0088,106492
0.0089,104074
0.009,102092
0.0091,100101
0.0092,97806
0.0093,95750
0.0094,93451
0.0095,91288
0.0096,89010
0.0097,86672
0.0098,84784
0.0099,82729
0.01,80353
0.0101,78272
0.0102,75857
0.0103,73748
0.0104,71613
0.0105,69258
0.0106,67335
0.0107,64985
0.0108,62997
0.0109,60908
0.011,58403
0.0111,56563
0.0112,54403
0.0113,52338
0.0114,50196
0.0115,47993
0.0116,46257
0.0117,44190
0.0118,42381
0.0119,40302
0.012,38203
0.0121,36452
0.0122,34461
0.0123,32472
0.0124,30924
0.0125,29187
0.0126,27260
0.0127,25280
0.0128,23765
0.0129,22090
0.013,20286
0.0131,18666
0.0132,17129
0.0133,15466
0.0134,14016
0.0135,12524
0.0136,11061
0.0137,9545
0.0138,8161
0.0139,6626
0.014,5486
0.0141,4222
0.0142,2779
0.0143,1580
0.0144,391
